Issuer Company,Symbol,Security Code,Dividened Record Date,Ex Date,Dividened Type,Dividened Per Share,CMP
Sula Vineyards Ltd,SULA.NS,"5,43,711",23-May-25,23-May-25,Dividend,3.6,296.7
Keystone Realtors Ltd,RUSTOMJEE.NS,"5,43,669",23-May-25,23-May-25,Dividend,1.5,546.45
CMS Info Systems Ltd,CMSINFO.NS,"5,43,441",23-May-25,23-May-25,Dividend,3,494.35
CMS Info Systems Ltd,CMSINFO.NS,"5,43,441",23-May-25,23-May-25,Dividend,3.25,494.35
GM Breweries Ltd,GMBREW.NS,"5,07,488",22-May-25,22-May-25,Dividend,7.5,717.7
Ashok Leyland Ltd,ASHOKLEY.NS,"5,00,477",22-May-25,22-May-25,Interim Dividend,4.25,243.15
Emami Ltd-$,EMAMILTD.NS,"5,31,162",22-May-25,22-May-25,Dividend,2,578.4
Odyssey Technologies Ltd,ODYSSEY.NS,"5,30,175",21-May-25,21-May-25,Dividend,1,103.9
Page Industries Ltd,PAGEIND.NS,"5,32,827",21-May-25,21-May-25,Interim Dividend,200,"46,421.10"
Alicon Castalloy Ltd,ALICON.NS,"5,31,147",17-May-25,16-May-25,Interim Dividend,2.5,886.6
Alicon Castalloy Ltd,ALICON.NS,"5,31,147",17-May-25,17-May-25,Interim Dividend,2.5,886.6
Advanced Enzyme Technologies Ltd,ADVENZYMES.NS,"5,40,025",17-May-25,16-May-25,Interim Dividend,4,309.7
Advanced Enzyme Technologies Ltd,ADVENZYMES.NS,"5,40,025",17-May-25,17-May-25,Interim Dividend,4,309.7
State Bank of India,SBIN.NS,"5,00,112",16-May-25,16-May-25,Dividend,15.9,820.05
Narmada Macplast Drip Irrigation Systems Ltd,NARMP.NS,"5,17,431",16-May-25,16-May-25,Interim Dividend,0.1,195.35
Aptech Ltd,APTECHT.NS,"5,32,475",16-May-25,16-May-25,Interim Dividend,4.5,159.1
Kewal Kiran Clothing Ltd,KKCL.NS,"5,32,732",16-May-25,16-May-25,Interim Dividend,2,499.05
Authum Investment & Infrastructure Ltd,AIIL.NS,"5,39,177",16-May-25,16-May-25,Interim Dividend,0.5,"2,500.10"
Indian Energy Exchange Ltd,IEX.NS,"5,40,750",16-May-25,16-May-25,Dividend,1.5,209.4
Fabtech Technologies Cleanrooms Ltd,FABCLEAN.NS,"5,44,332",16-May-25,16-May-25,Interim Dividend,2,333
Aptus Value Housing Finance India Ltd,APTUS.NS,"5,43,335",16-May-25,16-May-25,Interim Dividend,2.5,328.55
BEML Ltd,BEML.NS,"5,00,048",15-May-25,15-May-25,Interim Dividend,15,"4,364.40"
Great Eastern Shipping Company Ltd,GESHIP.NS,"5,00,620",15-May-25,15-May-25,Interim Dividend,5.4,987.75
Manappuram Finance Ltd,MANAPPURAM.NS,"5,31,213",15-May-25,15-May-25,Interim Dividend,0.5,264.75
Foseco India Ltd,FOSECOIND.NS,"5,00,150",14-May-25,14-May-25,Dividend,25,"4,428.60"
R Systems International Limited,RSYSTEMS.NS,RSYSTEMS,14-May-25,14-May-25,Interim Dividend,6,416.4
BSE Limited,BSE.NS,BSE,14-May-25,14-May-25,Dividend,23,"2,994.40"
BSE Limited,BSE.NS,BSE,14-May-25,14-May-25,Dividend,23,"2,994.40"
BSE Limited,BSE.NS,BSE,14-May-25,14-May-25,Dividend,23,"2,994.40"
Godrej Consumer Products Ltd,GODREJCP.NS,"5,32,424",13-May-25,13-May-25,Interim Dividend,5,"1,218.00"
IFGL Refractories Ltd,IFGLEXPOR.NS,"5,40,774",13-May-25,13-May-25,Interim Dividend,6,527.35
Coforge Ltd,COFORGE.NS,"5,32,541",12-May-25,09-May-25,Interim Dividend,19,"1,793.55"
Transformers and Rectifiers (India) Ltd,TARIL.NS,"5,32,928",09-May-25,09-May-25,Dividend,0.2,517.85
Bank of Maharashtra,MAHABANK.NS,"5,32,525",09-May-25,09-May-25,Dividend,1.5,56.86
Bajaj Finance Ltd,BAJFINANCE.NS,"5,00,034",09-May-25,09-May-25,Dividend,12,"9,608.30"
UCO Bank,UCOBANK.NS,"5,32,505",09-May-25,09-May-25,Dividend,0.39,33.16
Laurus Labs Ltd,LAURUSLABS.NS,"5,40,222",09-May-25,09-May-25,Interim Dividend,0.8,667.1
Anand Rathi Wealth Ltd,ANANDRATHI.NS,"5,43,415",09-May-25,09-May-25,Dividend,7,"1,984.20"
Oracle Financial Services Software Ltd,OFSS.NS,"5,32,466",08-May-25,08-May-25,Interim Dividend,265,"9,160.15"
Gravita India Ltd,GRAVITA.NS,"5,33,282",08-May-25,08-May-25,Interim Dividend,6.35,"1,849.40"
CRISIL Ltd,CRISIL.NS,"5,00,092",07-May-25,07-May-25,Interim Dividend,8,"5,385.75"
Sundram Fasteners Ltd,SUNDRMFAST.NS,"5,00,403",07-May-25,07-May-25,Interim Dividend,4.2,"1,005.25"
Varun Beverages Ltd,VBL.NS,"5,40,180",07-May-25,07-May-25,Interim Dividend,0.5,476.45
Oberoi Realty Ltd,OBEROIRLTY.NS,"5,33,273",05-May-25,05-May-25,Interim Dividend,2,"1,902.75"
PTC India Ltd,PTC.NS,"5,32,524",05-May-25,05-May-25,Interim Dividend,5,175.75
ABB India Limited,ABB.NS,ABB,03-May-25,02-May-25,Dividend,33.5,"6,215.00"
Ksb Limited,KSB.NS,KSB,02-May-25,02-May-25,Dividend,4,869.9
Gujarat Intrux Ltd,GUJINTRX.NS,"5,17,372",02-May-25,02-May-25,Interim Dividend,10,493.65
Mold-Tek Packaging Ltd,MOLDTKPAC.NS,"5,33,080",02-May-25,02-May-25,Interim Dividend,2,697.7
ACME Solar Holdings Ltd,ACMESOLAR.NS,"5,44,283",02-May-25,02-May-25,Interim Dividend,0.2,248.25
Forbes Precision Tools and Machine Parts Ltd,TOTEM.NS,"5,44,186",02-May-25,02-May-25,Interim Dividend,5,203.85
Vesuvius India Ltd,VESUVIUS.NS,"5,20,113",01-May-25,30-Apr-25,Dividend,14.5,"5,899.60"
Tanla Platforms Ltd,TANLA.NS,"5,32,790",30-Apr-25,30-Apr-25,Interim Dividend,6,627.1
360 ONE WAM LTD,360ONE.NS,"5,42,772",29-Apr-25,29-Apr-25,Interim Dividend,6,"1,066.50"
HCL Technologies Ltd,HCLTECH.NS,"5,32,281",28-Apr-25,28-Apr-25,Interim Dividend,18,"1,648.50"
Sanofi Consumer Healthcare India Ltd,SANOFICONR.NS,"5,44,250",28-Apr-25,28-Apr-25,Dividend,55,"5,124.20"
Sanofi India Ltd,SANOFI.NS,"5,00,674",25-Apr-25,25-Apr-25,Dividend,117,"6,169.25"
Muthoot Finance Limited,MUTHOOTFIN.NS,MUTHOOTFIN,25-Apr-25,25-Apr-25,Interim Dividend,26,"2,539.90"
Huhtamaki India Ltd,HUHTAMAKI.NS,"5,09,820",24-Apr-25,24-Apr-25,Dividend,2,206.2
Colab Platforms Ltd,COLAB.NS,"5,42,866",24-Apr-25,24-Apr-25,Interim Dividend,0.01,34.9
CIE Automotive India Ltd,CIEINDIA.NS,"5,32,756",23-Apr-25,23-Apr-25,Dividend,7,452.15
Schaeffler India Ltd,SCHAEFFLER.NS,"5,05,790",23-Apr-25,23-Apr-25,Dividend,28,"4,222.80"
Elantas Beck India Ltd-$,ELANTAS.NS,"5,00,123",23-Apr-25,23-Apr-25,Dividend,7.5,"10,442.20"
Sanofi Consumer Healthcare India Ltd,SANOFICONR.NS,"5,44,250",17-Apr-25,17-Apr-25,Dividend,55,"5,124.20"
Mazagon Dock Shipbuilders Ltd,MAZDOCK.NS,"5,43,237",16-Apr-25,16-Apr-25,Interim Dividend,3,"3,369.35"
Hexaware Technologies Ltd,HEXT.NS,"5,44,362",15-Apr-25,15-Apr-25,Interim Dividend,5.75,838.25
CRISIL Ltd,CRISIL.NS,"5,00,092",14-Apr-25,11-Apr-25,Dividend,26,"5,385.75"
Ashiana Housing Limited,ASHIANA.NS,ASHIANA,11-Apr-25,11-Apr-25,Interim Dividend,1,352.4
Saraswati Saree Depot Ltd,SSDL.NS,"5,44,230",10-Apr-25,09-Apr-25,Interim Dividend,1.52,104.4
PH Capital Ltd,PHCAP.NS,"5,00,143",04-Apr-25,04-Apr-25,Interim Dividend,0.25,170.65
DCM Shriram Industries Limited,DCMSRIND.NS,DCMSRIND,04-Apr-25,04-Apr-25,Interim Dividend,2,172.58
Varun Beverages Limited,VBL.NS,VBL,04-Apr-25,04-Apr-25,Dividend,0.5,476.6
Unifinz Capital India Ltd,UCIL.NS,"5,41,358",04-Apr-25,04-Apr-25,Interim Dividend,0.5,600.95
United Spirits Limited,UNITDSPR.NS,UNITDSPR,03-Apr-25,03-Apr-25,Interim Dividend,4,"1,592.70"
ADC India Communications Ltd-$,ADCINDIA.NS,"5,23,411",02-Apr-25,02-Apr-25,Interim Dividend,25,"1,034.95"
RailTel Corporation of India Ltd,RAILTEL.NS,"5,43,265",02-Apr-25,02-Apr-25,Interim Dividend,1,457.85
Mstc Limited,MSTCLTD.NS,MSTCLTD,02-Apr-25,02-Apr-25,Interim Dividend,4.5,562.2
Samvardhana Motherson International Ltd,MOTHERSON.NS,"5,17,334",28-Mar-25,28-Mar-25,Interim Dividend,0.5,161
Motherson Sumi Wiring India Ltd,MSUMI.NS,"5,43,498",28-Mar-25,28-Mar-25,Interim Dividend,0.5,62.21
Authum Investment & Infrastructure Ltd,AIIL.NS,"5,39,177",27-Mar-25,27-Mar-25,Interim Dividend,1,"2,500.10"
Bombay Burmah Trading Corporation Ltd,BBTC.NS,"5,01,425",27-Mar-25,27-Mar-25,Interim Dividend,4,"2,004.60"
Naperol Investments Ltd,NAPEROL.NS,"5,00,298",27-Mar-25,27-Mar-25,Interim Dividend,9,"1,007.85"
Sundaram-Clayton Ltd,SUNCLAY.NS,"5,44,066",27-Mar-25,27-Mar-25,Interim Dividend,4.75,"2,226.25"
REC Ltd,RECLTD.NS,"5,32,955",26-Mar-25,26-Mar-25,Interim Dividend,3.6,426.25
TVS Motor Company Ltd,TVSMOTOR.NS,"5,32,343",26-Mar-25,26-Mar-25,Interim Dividend,10,"2,743.75"
Ksolves India Ltd,KSOLVES.NS,"5,43,599",25-Mar-25,25-Mar-25,Interim Dividend,7.5,352.2
Mishra Dhatu Nigam Ltd,MIDHANI.NS,"5,41,195",25-Mar-25,25-Mar-25,Interim Dividend,0.75,420.05
CG Power and Industrial Solutions Limited,CGPOWER.NS,CGPOWER,22-Mar-25,21-Mar-25,Interim Dividend,1.3,694.65
NMDC Ltd,NMDC.NS,"5,26,371",21-Mar-25,21-Mar-25,Interim Dividend,2.3,73.98
Acceleratebs India Ltd,ACCELERATE.NS,"5,43,938",21-Mar-25,21-Mar-25,Interim Dividend,0.8,90.1
Indian Railway Finance Corporation Ltd,IRFC.NS,"5,43,257",21-Mar-25,21-Mar-25,Interim Dividend,0.8,146.95
Angel One Ltd,ANGELONE.NS,"5,43,235",20-Mar-25,20-Mar-25,Interim Dividend,11,"3,201.50"
Galaxy Surfactants Ltd,GALAXYSURF.NS,"5,40,935",20-Mar-25,20-Mar-25,Interim Dividend,18,"2,418.45"
AGI Infra Ltd,AGIIL.NS,"5,39,042",19-Mar-25,19-Mar-25,Interim Dividend,0.5,914.95
Power Finance Corporation Ltd,PFC.NS,"5,32,810",19-Mar-25,19-Mar-25,Interim Dividend,3.5,431
Agi Infra Limited,AGIIL.NS,AGIIL,19-Mar-25,19-Mar-25,Interim Dividend,0.5,915.15
CASTROL INDIA LTD,CASTROLIND.NS,"5,00,870",18-Mar-25,18-Mar-25,Dividend,9.5,220.25
DIC INDIA LTD,DICIND.NS,"5,00,089",18-Mar-25,18-Mar-25,Dividend,4,659
Castrol India Limited,CASTROLIND.NS,CASTROLIND,18-Mar-25,18-Mar-25,Dividend,5..&.Special.4.50,220.43
Castrol India Ltd,CASTROLIND.NS,"5,00,870",18-Mar-25,18-Mar-25,Dividend,4.5,220.25
Castrol India Ltd,CASTROLIND.NS,"5,00,870",18-Mar-25,18-Mar-25,Dividend,5,220.25
Housing & Urban Development Corporation Ltd,HUDCO.NS,"5,40,530",14-Mar-25,13-Mar-25,Interim Dividend,1.05,247.35
Sun TV Network Limited,SUNTV.NS,SUNTV,13-Mar-25,13-Mar-25,Interim Dividend,2.5,626.05
G R Infraprojects Limited,GRINFRA.NS,GRINFRA,13-Mar-25,13-Mar-25,Interim Dividend,12.5,"1,394.50"
Brisk Technovision Ltd,BRISK.NS,"5,44,101",13-Mar-25,13-Mar-25,Interim Dividend,1.4,111
Bharat Electronics Limited,BEL.NS,BEL,11-Mar-25,11-Mar-25,Interim Dividend,1.5,392.45
Jash Engineering Limited,JASH.NS,JASH,10-Mar-25,10-Mar-25,Interim Dividend,0.8,568.35
Metro Brands Ltd,METROBRAND.NS,"5,43,426",07-Mar-25,07-Mar-25,Dividend,14.5,"1,234.35"
Metro Brands Ltd,METROBRAND.NS,"5,43,426",07-Mar-25,07-Mar-25,Interim Dividend,3,"1,234.35"
SBI Life Insurance Company Ltd,SBILIFE.NS,"5,40,719",07-Mar-25,07-Mar-25,Interim Dividend,2.7,"1,790.55"
Metro Brands Limited,METROBRAND.NS,METROBRAND,07-Mar-25,07-Mar-25,Interim Dividend,3,"1,233.40"
Aayush Wellness Ltd,AAYUSH.NS,"5,39,528",03-Mar-25,03-Mar-25,Interim Dividend,0.01,151.05
PANCHSHEEL ORGANICS LTD,PANCHSHEEL.NS,"5,31,726",28-Feb-25,28-Feb-25,Interim Dividend,0.8,156.1
POWER FINANCE CORPORATION LTD,PFC.NS,"5,32,810",28-Feb-25,28-Feb-25,Interim Dividend,3.5,431
Bhatia Communications & Retail (India) Ltd,BHATIA.NS,"5,40,956",28-Feb-25,28-Feb-25,Interim Dividend,0.01,23.2
International Gemmological Institute India Ltd,IGIL.NS,"5,44,311",28-Feb-25,28-Feb-25,Interim Dividend,2.44,404.75
Steel City Securities Limited,STEELCITY.NS,STEELCITY,27-Feb-25,27-Feb-25,Interim Dividend,1,106.58
SBI Cards and Payment Services Ltd,SBICARD.NS,"5,43,066",25-Feb-25,25-Feb-25,Interim Dividend,2.5,"1,017.15"
ASM TECHNOLOGIES LTD,ASMTEC.NS,"5,26,433",24-Feb-25,24-Feb-25,Interim Dividend,1,"2,226.60"
Prithvi Exchange (India) Ltd,PRITHVIEXCH.NS,"5,31,688",24-Feb-25,24-Feb-25,Interim Dividend,1,155.1
FIRSTSOURCE SOLUTIONS LTD,FSL.NS,"5,32,809",21-Feb-25,21-Feb-25,Interim Dividend,4,374.75
CANTABIL RETAIL INDIA LTD,CANTABIL.NS,"5,33,267",21-Feb-25,21-Feb-25,Interim Dividend,0.5,263.8
KIRLOSKAR OIL ENGINES LTD,KIRLOSENG.NS,"5,33,293",21-Feb-25,21-Feb-25,Interim Dividend,2.5,913.8
Procter & Gamble Health Ltd,PGHL.NS,"5,00,126",21-Feb-25,21-Feb-25,Interim Dividend,80,"5,689.95"
QGO Finance Ltd,QGO.NS,"5,38,646",21-Feb-25,21-Feb-25,Interim Dividend,0.15,52.82
BOMBAY BURMAH TRADING CORP LTD,BBTC.NS,"5,01,425",21-Feb-25,21-Feb-25,Interim Dividend,13,"2,004.60"
INDIA NIPPON ELECTRICALS LTD,INDNIPPON.NS,"5,32,240",21-Feb-25,21-Feb-25,Interim Dividend,12.5,705.35
MANAPPURAM FINANCE LTD,MANAPPURAM.NS,"5,31,213",21-Feb-25,21-Feb-25,Interim Dividend,1,264.75
Modison Ltd-$,MODISONLTD.NS,"5,06,261",21-Feb-25,21-Feb-25,Interim Dividend,1.5,161.4
NIRLON LTD,NIRLON.NS,"5,00,307",21-Feb-25,21-Feb-25,Interim Dividend,15,515.25
SANDESH LTD,SANDESH.NS,"5,26,725",21-Feb-25,21-Feb-25,Interim Dividend,2.5,"1,140.55"
SJVN Ltd,SJVN.NS,"5,33,206",21-Feb-25,21-Feb-25,Interim Dividend,1.15,103.39
Meera Industries Ltd,MEERA.NS,"5,40,519",21-Feb-25,21-Feb-25,Interim Dividend,0.5,69.6
CAREER POINT LTD,CAREERP.NS,"5,33,260",21-Feb-25,21-Feb-25,Interim Dividend,1,177.3
The United Nilgiri Tea Estates Company Limited,UNITEDTEA.NS,UNITEDTEA,21-Feb-25,21-Feb-25,Interim Dividend,1,447.85
Veeram Securities Ltd,VSL.NS,"5,40,252",21-Feb-25,21-Feb-25,Interim Dividend,0.05,9.32
SHIVALIK BIMETAL CONTROLS LTD,SBCL.NS,"5,13,097",20-Feb-25,20-Feb-25,Interim Dividend,1.2,487.25
PROCTER & GAMBLE HYGIENE & HEALTH CARE LTD,PGHH.NS,"5,00,459",20-Feb-25,20-Feb-25,Interim Dividend,110,"13,480.15"
ESAB INDIA LTD,ESABINDIA.NS,"5,00,133",20-Feb-25,20-Feb-25,Interim Dividend,23,"5,268.80"
AVT NATURAL PRODUCTS LTD,AVTNPL.NS,"5,19,105",20-Feb-25,20-Feb-25,Interim Dividend,0.3,65.7
Indian Railway Catering and Tourism Corporation Ltd,IRCTC.NS,"5,42,830",20-Feb-25,20-Feb-25,Interim Dividend,3,787.9
UNITED DRILLING TOOLS LTD,UNIDT.NS,"5,22,014",19-Feb-25,18-Feb-25,Interim Dividend,0.6,187.8
GILLETTE INDIA LTD,GILLETTE.NS,"5,07,815",19-Feb-25,18-Feb-25,Interim Dividend,65,"9,777.30"
Carborundum Universal Limited,CARBORUNIV.NS,CARBORUNIV,19-Feb-25,18-Feb-25,Interim Dividend,1.5,951.5
MAITHAN ALLOYS LTD,MAITHANALL.NS,"5,90,078",19-Feb-25,18-Feb-25,Interim Dividend,3,"1,217.70"
Saraswati Saree Depot Ltd,SSDL.NS,"5,44,230",19-Feb-25,18-Feb-25,Interim Dividend,2.27,104.4
KSE LTD -$,KSE.NS,"5,19,421",18-Feb-25,18-Feb-25,Interim Dividend,30,"2,393.25"
Honda India Power Products Ltd,HONDAPOWER.NS,"5,22,064",18-Feb-25,18-Feb-25,Dividend,10,"2,928.70"
Honda India Power Products Ltd,HONDAPOWER.NS,"5,22,064",18-Feb-25,18-Feb-25,Dividend,10,"2,928.70"
SUPRAJIT ENGINEERING LTD -$,SUPRAJIT.NS,"5,32,509",18-Feb-25,18-Feb-25,Interim Dividend,1.25,469.55
PRECISION WIRES INDIA LTD,PRECWIRE.NS,"5,23,539",18-Feb-25,18-Feb-25,Interim Dividend,0.3,190
NBCC (India) Ltd,NBCC.NS,"5,34,309",18-Feb-25,18-Feb-25,Interim Dividend,0.53,128.65
SAVEN TECHNOLOGIES LTD,7TEC.NS,"5,32,404",18-Feb-25,18-Feb-25,Interim Dividend,1.5,45.31
Fineotex Chemical Limited,FCL.NS,FCL,18-Feb-25,18-Feb-25,Interim Dividend,0.4,254.93
IOL Chemicals and Pharmaceuticals Limited,IOLCP.NS,IOLCP,18-Feb-25,18-Feb-25,Interim Dividend,4,88.94
NCL Industries Limited,NCLIND.NS,NCLIND,18-Feb-25,18-Feb-25,Interim Dividend,1,225.58
NATCO PHARMA LTD,NATCOPHARM.NS,"5,24,816",18-Feb-25,18-Feb-25,Interim Dividend,1.5,863.45
Bharat Forge Limited,BHARATFORG.NS,BHARATFORG,18-Feb-25,18-Feb-25,Interim Dividend,2.5,"1,344.60"
Greenpanel Industries Ltd,GREENPANEL.NS,"5,42,857",18-Feb-25,18-Feb-25,Interim Dividend,0.3,273.25
K P  Energy Ltd,KPEL.NS,"5,39,686",18-Feb-25,18-Feb-25,Interim Dividend,0.2,564.6
Hindustan Aeronautics Ltd,HAL.NS,"5,41,154",18-Feb-25,18-Feb-25,Interim Dividend,25,"5,009.85"
KPI Green Energy Limited,KPIGREEN.NS,KPIGREEN,18-Feb-25,18-Feb-25,Interim Dividend,0.2,514.05
Amrutanjan Health Care Limited,AMRUTANJAN.NS,AMRUTANJAN,18-Feb-25,18-Feb-25,Interim Dividend,1,712.25
PREMCO GLOBAL LTD -$,PREMCO.NS,"5,30,331",17-Feb-25,17-Feb-25,Interim Dividend,2,444.95
OIL INDIA LTD,OIL.NS,"5,33,106",17-Feb-25,17-Feb-25,Interim Dividend,7,434.05
Dalmia Bharat Sugar and Industries Ltd,DALMIASUG.NS,"5,00,097",17-Feb-25,17-Feb-25,Interim Dividend,4.5,442
Mrs  Bectors Food Specialities Ltd,BECTORFOOD.NS,"5,43,253",17-Feb-25,17-Feb-25,Interim Dividend,3,"1,384.90"
Artemis Electricals and Projects Ltd,AEPL.NS,"5,42,670",17-Feb-25,17-Feb-25,Interim Dividend,0.01,25.49
Garuda Construction and Engineering Ltd,GARUDA.NS,"5,44,271",17-Feb-25,17-Feb-25,Interim Dividend,0.03,123.3
IIFL Capital Services Ltd,IIFLCAPS.NS,"5,42,773",17-Feb-25,17-Feb-25,Interim Dividend,3,342.85
IRCON International Ltd,IRCON.NS,"5,41,956",17-Feb-25,17-Feb-25,Interim Dividend,1.65,218.25
Campus Activewear Ltd,CAMPUS.NS,"5,43,523",17-Feb-25,17-Feb-25,Interim Dividend,0.7,292.4
Apollo Sindoori Hotels Limited,APOLSINHOT.NS,APOLSINHOT,17-Feb-25,17-Feb-25,Interim Dividend,0.5,"1,280.50"
APOLLO HOSPITALS ENTERPRISE LTD,APOLLOHOSP.NS,"5,08,869",15-Feb-25,14-Feb-25,Interim Dividend,9,"6,931.70"
MOIL LTD,MOIL.NS,"5,33,286",15-Feb-25,14-Feb-25,Interim Dividend,4.02,390.25
CUMMINS INDIA LTD,CUMMINSIND.NS,"5,00,480",14-Feb-25,14-Feb-25,Interim Dividend,18,"3,412.20"
KIRLOSKAR FERROUS INDUSTRIES LTD,KIRLFER.NS,"5,00,245",14-Feb-25,14-Feb-25,Interim Dividend,3,583.5
MAJESTIC AUTO LTD -$,MAJESAUT.NS,"5,00,267",14-Feb-25,14-Feb-25,Interim Dividend,5,312.95
TANEJA AEROSPACE & AVIATION LTD -$,TANAA.NS,"5,22,229",14-Feb-25,14-Feb-25,Interim Dividend,1.5,397.1
REC Ltd,RECLTD.NS,"5,32,955",14-Feb-25,14-Feb-25,Interim Dividend,4.3,426.25
Gulf Oil Lubricants India Ltd,GULFOILLUB.NS,"5,38,567",14-Feb-25,14-Feb-25,Interim Dividend,20,"1,176.55"
BEML LTD,BEML.NS,"5,00,048",14-Feb-25,14-Feb-25,Interim Dividend,5,"4,364.40"
MRF LTD,MRF.NS,"5,00,290",14-Feb-25,14-Feb-25,Interim Dividend,3,"1,38,602.75"
PI Industries Ltd,PIIND.NS,"5,23,642",14-Feb-25,14-Feb-25,Interim Dividend,6,"3,935.95"
GOLDIAM INTERNATIONAL LTD,GOLDIAM.NS,"5,26,729",14-Feb-25,14-Feb-25,Interim Dividend,1,350.4
Alkem Laboratories Ltd,ALKEM.NS,"5,39,523",14-Feb-25,14-Feb-25,Interim Dividend,37,"4,874.40"
ADVANI HOTELS & RESORTS (INDIA) LTD,ADVANIHOTR.NS,"5,23,269",14-Feb-25,14-Feb-25,Interim Dividend,1,62.46
NATIONAL ALUMINIUM CO LTD,NATIONALUM.NS,"5,32,234",14-Feb-25,14-Feb-25,Interim Dividend,4,187.3
Escorts Kubota Ltd,ESCORTS.NS,"5,00,495",14-Feb-25,14-Feb-25,Interim Dividend,10,"3,287.15"
SAREGAMA INDIA LTD,SAREGAMA.NS,"5,32,163",14-Feb-25,14-Feb-25,Interim Dividend,4.5,563.3
ENGINEERS INDIA LTD,ENGINERSIN.NS,"5,32,178",14-Feb-25,14-Feb-25,Interim Dividend,2,232
A K CAPITAL SERVICES LTD,AKCAPIT.NS,"5,30,499",14-Feb-25,14-Feb-25,Interim Dividend,12,"1,054.35"
BANCO PRODUCTS (INDIA) LTD -$,BANCOINDIA.NS,"5,00,039",14-Feb-25,14-Feb-25,Interim Dividend,11,567.7
