Issuer Company,Symbol,Security Code,Dividened Record Date,Ex Date,Dividened Type,Dividened Per Share,CMP
Quess Corp Limited,QUESS.NS,QUESS,07-Feb-25,07-Feb-25,Interim Dividend,4,314.95
Shyam Metalics and Energy Limited,SHYAMMETL.NS,SHYAMMETL,07-Feb-25,07-Feb-25,Interim Dividend,2.25,879.6
Computer Age Management Services Ltd,CAMS.NS,"5,43,232",07-Feb-25,07-Feb-25,Interim Dividend,17.5,"4,275.70"
Gateway Distriparks Ltd,GATEWAY.NS,"5,43,489",07-Feb-25,07-Feb-25,Interim Dividend,0.75,67.44
Garden Reach Shipbuilders & Engineers Ltd,GRSE.NS,"5,42,011",07-Feb-25,07-Feb-25,Interim Dividend,8.95,"3,270.75"
Jasch Gauging Technologies Ltd,JGTL.NS,"5,44,112",07-Feb-25,07-Feb-25,Interim Dividend,5,558.05
Julien Agro Infratech Ltd,JULIEN.NS,"5,36,073",07-Feb-25,07-Feb-25,Interim Dividend,0.05,7.97
Tube Investments of India Ltd,TIINDIA.NS,"5,40,762",07-Feb-25,07-Feb-25,Interim Dividend,2,"3,038.50"
Tara Chand InfraLogistic Solutions Limited,TARACHAND.NS,TARACHAND,07-Feb-25,07-Feb-25,Interim Dividend,0.2,59.8
Sundaram Finance Limited,SUNDARMFIN.NS,SUNDARMFIN,07-Feb-25,07-Feb-25,Interim Dividend,14,"5,099.00"
Triveni Turbine Limited,TRITURBINE.NS,TRITURBINE,06-Feb-25,06-Feb-25,Interim Dividend,2,607.45
Sun Pharmaceutical Industries Limited,SUNPHARMA.NS,SUNPHARMA,06-Feb-25,06-Feb-25,Interim Dividend,10.5,"1,694.40"
IRB Infrastructure Developers Limited,IRB.NS,IRB,06-Feb-25,06-Feb-25,Interim Dividend,0.1,53.16
Sharda Cropchem Limited,SHARDACROP.NS,SHARDACROP,06-Feb-25,06-Feb-25,Interim Dividend,3,782.35
CONTAINER CORPORATION OF INDIA LTD,CONCOR.NS,"5,31,344",06-Feb-25,06-Feb-25,Interim Dividend,4.25,800.7
India Motor Parts and Accessories Limited,IMPAL.NS,IMPAL,06-Feb-25,06-Feb-25,Interim Dividend,10,"1,089.70"
GTV Engineering Ltd,GTV.NS,"5,39,479",05-Feb-25,05-Feb-25,Interim Dividend,0.5,"1,086.25"
Coromandel International Limited,COROMANDEL.NS,COROMANDEL,05-Feb-25,05-Feb-25,Interim Dividend,6,"2,411.20"
Indian Metals & Ferro Alloys Limited,IMFA.NS,IMFA,05-Feb-25,05-Feb-25,Interim Dividend,5,741.45
Dr  Lal Path Labs Ltd,LALPATHLAB.NS,LALPATHLAB,05-Feb-25,05-Feb-25,Interim Dividend,6,"2,874.70"
SHREE CEMENT LIMITED,SHREECEM.NS,SHREECEM,05-Feb-25,05-Feb-25,Interim Dividend,50,"29,825.00"
Manba Finance Limited,MANBA.NS,MANBA,05-Feb-25,05-Feb-25,Interim Dividend,0.25,146.91
Sona BLW Precision Forgings Limited,SONACOMS.NS,SONACOMS,05-Feb-25,05-Feb-25,Interim Dividend,1.6,521.35
MAS Financial Services Limited,MASFIN.NS,MASFIN,05-Feb-25,05-Feb-25,Interim Dividend,1,301.9
SMC Global Securities Limited,SMCGLOBAL.NS,SMCGLOBAL,05-Feb-25,05-Feb-25,Interim Dividend,1.2,126.04
Aurionpro Solutions Limited,AURIONPRO.NS,AURIONPRO,04-Feb-25,04-Feb-25,Interim Dividend,1,"1,368.00"
LT FOODS LTD,LTFOODS.NS,"5,32,783",04-Feb-25,04-Feb-25,Interim Dividend,0.5,472.75
Aarti Drugs Limited,AARTIDRUGS.NS,AARTIDRUGS,04-Feb-25,04-Feb-25,Interim Dividend,1,468.5
Emami Limited,EMAMILTD.NS,EMAMILTD,04-Feb-25,04-Feb-25,Interim Dividend,4,578
SRF Limited,SRF.NS,SRF,04-Feb-25,04-Feb-25,Interim Dividend,3.6,"3,126.30"
Sundaram Finance Holdings Limited,SUNDARMHLD.NS,SUNDARMHLD,04-Feb-25,04-Feb-25,Interim Dividend,3.7,412.6
KPIT Technologies Limited,KPITTECH.NS,KPITTECH,04-Feb-25,04-Feb-25,Interim Dividend,2.5,"1,353.40"
Orient Electric Limited,ORIENTELEC.NS,ORIENTELEC,04-Feb-25,04-Feb-25,Interim Dividend,0.75,231.51
Apcotex Industries Limited,APCOTEXIND.NS,APCOTEXIND,03-Feb-25,03-Feb-25,Interim Dividend,2,384.15
Godrej Consumer Products Limited,GODREJCP.NS,GODREJCP,03-Feb-25,03-Feb-25,Interim Dividend,5,"1,217.60"
Siyaram Silk Mills Limited,SIYSIL.NS,SIYSIL,03-Feb-25,03-Feb-25,Interim Dividend,3,702.3
The Great Eastern Shipping Company Limited,GESHIP.NS,GESHIP,03-Feb-25,03-Feb-25,Interim Dividend,8.1,987.35
Share India Securities Limited,SHAREINDIA.NS,SHAREINDIA,03-Feb-25,03-Feb-25,Interim Dividend,0.2,186.62
Mahanagar Gas Limited,MGL.NS,MGL,03-Feb-25,03-Feb-25,Interim Dividend,12,"1,416.30"
Jubilant Ingrevia Limited,JUBLINGREA.NS,JUBLINGREA,03-Feb-25,03-Feb-25,Interim Dividend,2.5,707
Wheels India Limited,WHEELS.NS,WHEELS,03-Feb-25,03-Feb-25,Interim Dividend,4.5,761.45
Torrent Pharmaceuticals Limited,TORNTPHARM.NS,TORNTPHARM,01-Feb-25,31-Jan-25,Interim Dividend,26,"3,180.70"
Motilal Oswal Financial Services Limited,MOTILALOFS.NS,MOTILALOFS,01-Feb-25,31-Jan-25,Interim Dividend,5,893.7
ROUTE MOBILE LIMITED,ROUTE.NS,ROUTE,01-Feb-25,31-Jan-25,Interim Dividend,3,"1,044.45"
RITES Limited,RITES.NS,RITES,01-Feb-25,31-Jan-25,Interim Dividend,1.9,302.25
NTPC Limited,NTPC.NS,NTPC,31-Jan-25,31-Jan-25,Interim Dividend,2.5,337.1
Coal India Limited,COALINDIA.NS,COALINDIA,31-Jan-25,31-Jan-25,Interim Dividend,5.6,401
Persistent Systems Limited,PERSISTENT.NS,PERSISTENT,31-Jan-25,31-Jan-25,Interim Dividend,20,"5,790.50"
Shriram Finance Limited,SHRIRAMFIN.NS,SHRIRAMFIN,31-Jan-25,31-Jan-25,Interim Dividend,2.5,698
Indian Energy Exchange Limited,IEX.NS,IEX,31-Jan-25,31-Jan-25,Interim Dividend,1.5,209.31
Wealth First Portfolio Managers Limited,WEALTH.NS,WEALTH,31-Jan-25,31-Jan-25,Interim Dividend,4,"1,272.25"
Coforge Limited,COFORGE.NS,COFORGE,30-Jan-25,30-Jan-25,Interim Dividend,19,"1,794.00"
Transport Corporation of India Limited,TCI.NS,TCI,30-Jan-25,30-Jan-25,Interim Dividend,4.5,"1,140.10"
Balkrishna Industries Limited,BALKRISIND.NS,BALKRISIND,30-Jan-25,30-Jan-25,Interim Dividend,4,"2,502.70"
Accelya Solutions India Limited,ACCELYA.NS,ACCELYA,30-Jan-25,30-Jan-25,Interim Dividend,50,"1,452.20"
Siemens Limited,SIEMENS.NS,SIEMENS,30-Jan-25,30-Jan-25,Dividend,12,"3,383.30"
Housing & Urban Development Corporation Limited,HUDCO.NS,HUDCO,30-Jan-25,30-Jan-25,Interim Dividend,2.05,247.34
Bharat Petroleum Corporation Limited,BPCL.NS,BPCL,29-Jan-25,29-Jan-25,Interim Dividend,5,320.4
MPS Limited,MPSLTD.NS,MPSLTD,29-Jan-25,29-Jan-25,Interim Dividend,33,"2,611.10"
Wipro Limited,WIPRO.NS,WIPRO,28-Jan-25,28-Jan-25,Interim Dividend,6,251.29
Wipro Limited,WIPRO.NS,WIPRO,28-Jan-25,28-Jan-25,Interim Dividend,6,250
Wendt (India) Limited,WENDT.NS,WENDT,28-Jan-25,28-Jan-25,Interim Dividend,30,"8,520.00"
Tips Music Limited,TIPSMUSIC.NS,TIPSMUSIC,28-Jan-25,28-Jan-25,Interim Dividend,3,694.7
Zensar Technologies Limited,ZENSARTECH.NS,ZENSARTECH,28-Jan-25,28-Jan-25,Interim Dividend,2,854.45
Tanla Platforms Limited,TANLA.NS,TANLA,27-Jan-25,27-Jan-25,Interim Dividend,6,627.05
KEI Industries Limited,KEI.NS,KEI,27-Jan-25,27-Jan-25,Interim Dividend,4,"3,812.80"
Oberoi Realty Limited,OBEROIRLTY.NS,OBEROIRLTY,24-Jan-25,24-Jan-25,Interim Dividend,2,"1,903.10"
Mastek Limited,MASTEK.NS,MASTEK,24-Jan-25,24-Jan-25,Interim Dividend,7,"2,363.10"
Vidhi Specialty Food Ingredients Limited,VIDHIING.NS,VIDHIING,24-Jan-25,24-Jan-25,Interim Dividend,1.5,426.4
DCM Shriram Limited,DCMSHRIRAM.NS,DCMSHRIRAM,24-Jan-25,24-Jan-25,Interim Dividend,3.6,"1,073.10"
Control Print Limited,CONTROLPR.NS,CONTROLPR,24-Jan-25,24-Jan-25,Interim Dividend,4,748.55
Havells India Limited,HAVELLS.NS,HAVELLS,22-Jan-25,22-Jan-25,Interim Dividend,4,"1,543.80"
Bhansali Engineering Polymers Limited,BEPL.NS,BEPL,22-Jan-25,22-Jan-25,Interim Dividend,1,117.11
Angel One Limited,ANGELONE.NS,ANGELONE,21-Jan-25,21-Jan-25,Interim Dividend,11,"3,202.30"
Tata Consultancy Services Limited,TCS.NS,TCS,17-Jan-25,17-Jan-25,Interim Dividend,10,"3,421.90"
Tata Consultancy Services Limited,TCS.NS,TCS,17-Jan-25,17-Jan-25,Special.Dividend,66,"3,421.90"
HCL Technologies Limited,HCLTECH.NS,HCLTECH,17-Jan-25,17-Jan-25,Interim Dividend,12,"1,648.30"
HCL Technologies Limited,HCLTECH.NS,HCLTECH,17-Jan-25,17-Jan-25,Special.Dividend,6,"1,648.30"
CESC Limited,CESC.NS,CESC,16-Jan-25,16-Jan-25,Interim Dividend,4.5,170.15
PCBL LIMITED,PCBL.NS,PCBL,16-Jan-25,16-Jan-25,Interim Dividend,5.5,412.15
Redtape Limited,REDTAPE.NS,REDTAPE,03-Jan-25,03-Jan-25,Interim Dividend,2,133.04
